@relation 'spam-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R8,12'

@attribute account_age numeric
@attribute no_follower numeric
@attribute no_following numeric
@attribute no_userfavourites numeric
@attribute no_lists numeric
@attribute no_tweets numeric
@attribute no_retweets numeric
@attribute no_hashtag numeric
@attribute no_usermention numeric
@attribute no_urls numeric
@attribute no_char numeric
@attribute no_digits numeric
@attribute class {spammer,non-spammer}

@data
1700,4,0,0,0,62,0,1,0,1,21,0,spammer
798,0,2,0,0,338,0,0,0,1,34,8,spammer
890,0,8,0,0,87,0,1,0,1,23,0,spammer
1155,0,3,0,0,69,0,1,0,1,20,0,spammer
1272,5,412,0,0,71,0,1,0,1,27,0,spammer
199,0,10,0,0,62,0,1,0,1,31,0,spammer
689,0,0,0,0,65,0,1,0,1,23,0,spammer
896,9,42,1,0,80,0,1,0,1,22,0,spammer
1629,0,4,0,0,308,0,0,0,1,21,2,spammer
1673,2,0,0,0,62,0,1,0,1,27,0,spammer
1431,3,2,1,0,64,0,1,0,1,28,0,spammer
1766,3,3,1,0,63,0,1,0,1,16,0,spammer
1425,24,454,0,0,64,0,1,0,1,24,0,spammer
837,0,0,0,0,61,0,1,0,1,37,0,spammer
248,0,0,0,0,73,0,1,0,1,14,0,spammer
490,0,26,0,0,3841,0,1,0,1,17,0,spammer
1088,1,54,0,0,133,0,1,0,1,52,0,spammer
834,1,5,0,0,65,0,1,0,1,21,0,spammer
1345,27,205,4,1,143,0,1,0,1,26,0,spammer
242,0,0,0,0,63,0,1,0,1,18,0,spammer
939,0,2,0,0,63,0,1,0,1,28,0,spammer
899,1,151,0,0,63,0,1,0,1,14,0,spammer
978,44,18,0,0,115,0,1,0,1,36,0,spammer
381,0,189,0,0,312,0,0,0,1,39,0,spammer
692,3,15,0,0,62,0,1,0,1,21,0,spammer
701,2,10,0,0,61,0,1,0,1,42,0,spammer
1050,4,199,0,0,78,0,1,0,1,25,0,spammer
894,10,50,5,0,217,0,1,0,1,22,0,spammer
804,35,29,1,1,238,0,1,0,1,24,0,spammer
303,13840,138,78,13,6353,59,0,1,1,72,1,spammer
1277,1,21,5,0,126,0,1,0,1,19,0,spammer
1040,0,222,0,0,64,0,1,0,1,19,0,spammer
815,0,0,0,0,64,0,1,0,1,36,0,spammer
333,0,0,0,0,64,0,1,0,1,29,0,spammer
1307,3,440,0,0,57,0,1,0,1,21,0,spammer
1244,2,1,0,0,91,0,1,0,1,29,0,spammer
921,5,6,0,0,63,0,1,0,1,34,0,spammer
858,0,219,0,0,1110,0,0,0,1,45,2,spammer
972,0,0,0,0,57,0,1,0,1,9,0,spammer
446,1,2,0,0,67,0,1,0,1,24,0,spammer
1132,0,0,0,0,64,0,1,0,1,23,0,spammer
930,2,13,0,0,64,0,1,0,1,28,0,spammer
488,0,0,0,0,359,0,0,0,1,34,1,spammer
944,2,61,0,0,66,0,1,0,1,58,0,spammer
1038,1,10,0,0,7101,0,1,0,1,13,0,spammer
720,4,25,20,0,68,0,1,0,1,41,0,spammer
1409,2,45,0,0,65,0,1,0,1,22,0,spammer
765,17,573,23,0,72,0,1,0,1,13,0,spammer
291,0,14,0,0,348,0,0,0,1,25,0,spammer
1889,8,32,0,0,68,0,1,0,1,17,0,spammer
1295,18,78,395,0,531,0,1,0,1,12,0,spammer
803,6,758,2,0,74,0,1,0,1,23,0,spammer
1810,1473,280,4,94,6511,0,1,0,1,18,0,spammer
860,2,6,1,0,110,0,1,0,1,20,0,spammer
933,0,2,0,0,64,0,1,0,1,31,0,spammer
1376,31,134,1,0,69,0,1,0,1,28,0,spammer
386,8729,7005,0,24,35284,0,0,0,1,59,0,spammer
1253,21,21,0,1,233,0,1,0,1,26,0,spammer
584,0,11,0,0,294,0,0,0,1,62,0,spammer
926,8,33,0,0,72,0,1,0,1,30,0,spammer
1272,5,412,0,0,72,0,1,0,1,19,0,spammer
343,0,0,0,0,63,0,1,0,1,19,0,spammer
1155,0,191,0,0,66,0,1,0,1,29,0,spammer
694,0,216,0,0,339,0,0,0,1,48,0,spammer
890,0,8,0,0,88,0,1,0,1,28,0,spammer
601,0,13,3,0,68,0,1,0,1,40,0,spammer
199,0,10,0,0,63,0,1,0,1,36,0,spammer
1395,1,13,0,0,64,0,1,0,1,29,0,spammer
689,0,0,0,0,66,0,1,0,1,31,0,spammer
1257,0,3,0,0,64,0,1,0,1,28,0,spammer
928,1,0,0,0,65,0,1,0,1,25,0,spammer
1700,4,0,0,0,63,0,1,0,1,11,0,spammer
961,0,0,0,0,122,0,1,0,1,29,0,spammer
324,0,0,0,0,66,0,1,0,1,31,0,spammer
47,8,53,0,0,202,1,0,1,1,76,0,spammer
896,9,42,1,0,82,0,1,0,1,36,0,spammer
1431,3,2,1,0,65,0,1,0,1,24,0,spammer
1673,2,0,0,0,63,0,1,0,1,35,0,spammer
1425,24,454,0,0,65,0,1,0,1,22,0,spammer
486,19,113,0,0,96,0,1,0,1,25,0,spammer
490,0,26,0,0,3842,0,1,0,1,29,8,spammer
1088,1,54,0,0,134,0,1,0,1,17,0,spammer
1766,3,3,1,0,64,0,1,0,1,28,0,spammer
1015,0,0,0,0,62,0,1,0,1,17,0,spammer
834,1,5,0,0,66,0,1,0,1,29,0,spammer
248,0,0,0,0,74,0,1,0,1,35,0,spammer
1589,1272,1114,181,8,30947,0,1,3,1,103,7,spammer
1403,1,2,0,0,341,0,0,0,1,41,0,spammer
1345,27,205,4,1,144,0,1,0,1,19,0,spammer
62,64,99,0,2,120,0,0,0,1,36,0,spammer
242,0,0,0,0,64,0,1,0,1,40,2,spammer
1155,0,3,0,0,70,0,1,0,1,30,0,spammer
899,1,151,0,0,64,0,1,0,1,23,0,spammer
837,0,0,0,0,62,0,1,0,1,27,0,spammer
617,404,988,0,2,204,0,1,0,1,24,0,spammer
939,0,2,0,0,63,0,1,0,1,32,0,spammer
701,2,10,0,0,62,0,1,0,1,14,0,spammer
692,3,15,0,0,63,0,1,0,1,23,0,spammer
1262,3,2,0,0,1814,0,0,0,1,42,0,spammer
333,0,0,0,0,65,0,1,0,1,55,0,spammer
978,44,18,0,0,116,0,1,0,1,14,0,spammer
804,35,29,1,1,239,0,1,0,1,55,0,spammer
1050,4,199,0,0,79,0,1,0,1,55,0,spammer
894,10,50,5,0,218,0,1,0,1,14,0,spammer
1277,1,21,5,0,127,0,1,0,1,23,0,spammer
57,953,1225,0,0,30074,0,0,0,1,61,0,spammer
1244,2,1,0,0,92,0,1,0,1,35,0,spammer
1040,0,222,0,0,65,0,1,0,1,73,2,spammer
921,5,6,0,0,64,0,1,0,1,24,0,spammer
1202,4,215,0,0,2000,0,0,0,1,17,0,spammer
1307,3,440,0,0,58,0,1,0,1,31,0,spammer
972,0,0,0,0,58,0,1,0,1,36,0,spammer
944,2,61,0,0,67,0,1,0,1,52,2,spammer
815,0,0,0,0,65,0,1,0,1,41,0,spammer
803,6,758,2,0,75,0,1,0,1,26,0,spammer
1539,0,11,0,0,64,0,1,0,1,35,0,spammer
720,4,25,20,0,69,0,1,0,1,51,0,spammer
1132,0,0,0,0,65,0,1,0,1,37,0,spammer
930,2,13,0,0,65,0,1,0,1,29,0,spammer
1038,1,10,0,0,7102,0,1,0,1,31,0,spammer
446,1,2,0,0,68,0,1,0,1,31,0,spammer
965,2,2,0,0,333,0,0,0,1,39,2,spammer
765,17,573,23,0,74,0,1,0,1,32,0,spammer
933,0,2,0,0,65,0,1,0,1,25,0,spammer
860,2,6,1,0,111,0,1,0,1,31,0,spammer
1569,1,0,0,1,308,0,0,0,1,37,0,spammer
1155,0,191,0,0,67,0,1,0,1,21,0,spammer
1295,18,78,395,0,532,0,1,0,1,25,0,spammer
1889,8,32,0,0,69,0,1,0,1,45,0,spammer
926,8,33,0,0,73,0,1,0,1,26,0,spammer
961,0,0,0,0,123,0,1,0,1,27,0,spammer
343,0,0,0,0,64,0,1,0,1,18,0,spammer
1644,1,20,0,0,337,0,0,0,1,43,3,spammer
1810,1473,280,4,94,6511,0,1,0,1,22,0,spammer
1395,1,13,0,0,65,0,1,0,1,36,0,spammer
1272,5,412,0,0,73,0,1,0,1,15,0,spammer
896,9,42,1,0,83,0,1,0,1,58,0,spammer
1700,4,0,0,0,64,0,1,0,1,67,0,spammer
890,0,8,0,0,89,0,1,0,1,13,0,spammer
689,0,0,0,0,67,0,1,0,1,24,0,spammer
238,2161,2251,0,2,6411,0,0,0,1,35,1,spammer
1673,2,0,0,0,64,0,1,0,1,20,0,spammer
1257,0,3,0,0,65,0,1,0,1,24,0,spammer
199,0,10,0,0,64,0,1,0,1,23,0,spammer
1431,3,2,1,0,66,0,1,0,1,22,0,spammer
1376,31,134,1,0,70,0,1,0,1,23,0,spammer
1345,27,205,4,1,145,0,1,0,1,25,0,spammer
1109,0,64,0,0,65,0,1,0,1,29,0,spammer
899,1,151,0,0,65,0,1,0,1,23,0,spammer
1155,0,3,0,0,71,0,1,0,1,28,0,spammer
1766,3,3,1,0,65,0,1,0,1,35,0,spammer
837,0,0,0,0,63,0,1,0,1,21,0,spammer
486,19,113,0,0,97,0,1,0,1,20,0,spammer
242,0,0,0,0,65,0,1,0,1,27,0,spammer
677,1,2,0,0,334,0,0,0,1,67,4,spammer
692,3,15,0,0,64,0,1,0,1,30,0,spammer
1569,2,18,0,0,314,0,0,0,1,34,0,spammer
1589,1272,1114,181,8,30948,0,1,3,1,106,7,spammer
701,2,10,0,0,63,0,1,0,1,23,0,spammer
778,1,13,0,0,67,0,1,0,1,25,0,spammer
232,2009,1925,0,2,8187,0,0,0,1,29,0,spammer
1015,0,0,0,0,63,0,1,0,1,35,0,spammer
747,3,11,0,0,61,0,1,0,1,31,0,spammer
229,1943,1875,0,0,8433,0,0,0,1,37,0,spammer
1153,157,261,0,2,219,0,1,0,1,35,0,spammer
284,0,4,0,0,61,0,1,0,1,31,0,spammer
1244,2,1,0,0,93,0,1,0,1,35,0,spammer
1277,1,21,5,0,128,0,1,0,1,34,0,spammer
221,1915,1780,0,0,6502,0,0,0,1,34,0,spammer
751,0,1,0,0,63,0,1,0,1,35,0,spammer
1050,4,199,0,0,80,0,1,0,1,31,0,spammer
916,0,4,0,0,61,0,1,0,1,27,0,spammer
617,404,988,0,2,205,0,1,0,1,28,0,spammer
521,1,51,0,0,182,0,1,0,1,31,0,spammer
804,35,29,1,1,240,0,1,0,1,34,0,spammer
1580,4,0,0,0,62,0,1,0,1,30,0,spammer
972,0,0,0,0,59,0,1,0,1,30,0,spammer
857,1,213,0,0,318,0,0,0,1,37,0,spammer
1690,9,24,1,0,158,0,1,0,1,34,0,spammer
278,3,27,0,0,359,0,0,0,1,21,4,spammer
366,1,11,0,0,313,0,0,0,1,32,0,spammer
1307,3,440,0,0,59,0,1,0,1,32,0,spammer
614,56,27,0,2,14712,0,0,0,2,70,0,spammer
803,6,758,2,0,76,0,1,0,1,21,0,spammer
411,0,1,0,0,61,0,1,0,1,22,0,spammer
517,0,0,0,0,61,0,1,0,1,25,0,spammer
385,1,58,0,0,61,0,1,0,1,33,0,spammer
99,2786,2750,0,11,286,0,0,0,1,75,0,spammer
16,1,2,0,0,376,0,2,0,1,91,2,spammer
523,0,1,0,0,62,0,1,0,1,24,0,spammer
1338,187,347,0,1,5716,0,0,0,1,108,0,spammer
197,239,1701,0,0,127111,0,0,0,1,54,0,spammer
1539,0,11,0,0,65,0,1,0,1,24,0,spammer
473,219,1,0,0,381,0,2,0,1,96,2,spammer
740,0,14,0,0,61,0,1,0,1,19,0,spammer
1889,8,32,0,0,70,0,1,0,1,33,0,spammer
1665,2,1,0,0,62,0,1,0,1,21,0,spammer
690,0,0,0,0,61,0,1,0,1,30,0,spammer
342,2804,1846,0,10,25794,0,1,0,1,45,0,spammer
654,13,39,0,0,514,0,1,0,1,39,0,spammer
132,200,457,0,0,3412,0,0,0,1,40,0,spammer
133,96,413,0,0,3591,0,1,0,1,34,0,spammer
911,609,1100,0,1,1567,0,0,0,1,46,1,spammer
1083,1,156,0,0,62,0,1,0,1,39,0,spammer
1849,0,2,0,0,353,0,0,0,1,29,4,spammer
343,0,0,0,0,65,0,1,0,1,30,0,spammer
990,0,0,0,0,61,0,1,0,1,35,0,spammer
1643,3,196,0,0,334,0,0,0,1,24,0,spammer
896,9,42,1,0,84,0,1,0,1,47,0,spammer
926,8,33,0,0,74,0,1,0,1,22,0,spammer
649,0,238,0,0,1137,0,0,0,1,20,1,spammer
694,0,5,0,0,63,0,1,0,1,41,0,spammer
199,0,10,0,0,65,0,1,0,1,37,0,spammer
1272,5,412,0,0,74,0,1,0,1,25,0,spammer
1673,2,0,0,0,65,0,1,0,1,39,0,spammer
44,1,159,0,0,61,0,1,0,1,35,0,spammer
1257,0,3,0,0,66,0,1,0,1,36,0,spammer
1109,0,64,0,0,66,0,1,0,1,22,0,spammer
1700,4,0,0,0,65,0,1,0,1,43,0,spammer
677,470,1529,204,2,17889,1,1,1,1,76,6,spammer
858,0,219,0,0,1111,0,0,0,1,29,0,spammer
1623,846,811,5609,6,39007,0,1,0,1,55,6,spammer
692,3,15,0,0,65,0,1,0,1,26,0,spammer
837,0,0,0,0,64,0,1,0,1,25,0,spammer
28,212,916,7,0,111,0,0,0,1,94,0,spammer
1533,0,2,0,0,66,0,1,0,1,31,0,spammer
820,0,0,0,0,323,0,0,0,1,47,1,spammer
245,135,225,1464,0,4708,0,1,0,1,55,6,spammer
1015,0,0,0,0,64,0,1,0,1,22,0,spammer
1153,157,261,0,2,220,0,1,0,1,23,0,spammer
778,1,13,0,0,67,0,1,0,1,45,0,spammer
877,763,756,3522,2,28619,0,1,0,1,55,6,spammer
1455,12,1999,0,1,157,0,1,0,1,29,0,spammer
1037,22,150,1,0,694,0,0,0,1,40,0,spammer
366,1,11,0,0,314,0,0,0,1,47,3,spammer
648,273,551,201,0,4455,0,2,0,1,70,2,spammer
1062,106,490,3,1,875,0,0,0,1,56,0,spammer
0,137,128,3,0,49,0,2,0,1,99,2,spammer
673,0,657,3,0,1205,0,0,0,1,29,0,spammer
725,429,364,1079,2,7548,0,1,0,1,55,6,spammer
165,103,97,0,0,990,0,0,0,1,0,0,spammer
181,1716,1442,110,0,2238,0,0,0,1,101,8,spammer
89,468,604,163,0,1276,0,1,0,1,55,6,spammer
1068,658,619,1448,0,6135,0,0,0,1,59,3,spammer
1443,35,318,0,1,1124,0,0,0,1,35,4,spammer
1429,857,1005,7,14,7346,0,1,0,1,55,6,spammer
1255,4447,4283,84,104,9828,0,0,0,1,0,0,spammer
1271,1892,1885,38045,1,23350,0,1,0,1,81,7,spammer
587,55,280,0,0,1471,0,0,0,1,45,0,spammer
842,1,360,0,0,122,0,0,0,1,27,2,spammer
816,10,18,2,0,452,0,0,0,1,38,1,spammer
573,0,0,0,0,315,0,0,0,1,24,0,spammer
1589,1272,1114,181,8,30949,0,1,5,1,88,1,spammer
842,1,360,0,0,123,0,0,0,1,45,0,spammer
262,55,89,18,0,1300,0,0,0,1,22,0,spammer
566,181,0,470,0,1358,0,0,0,1,60,4,spammer
1527,68,519,30,0,1677,0,0,0,1,36,4,spammer
893,1,2,0,0,345,0,0,0,1,27,0,spammer
368,1533,718,1237,2,15686,0,1,0,1,55,6,spammer
1589,1272,1114,181,8,30950,0,1,5,1,83,3,spammer
919,20,225,0,1,462,0,0,0,1,61,3,spammer
706,385,591,328,2,6151,0,1,0,1,55,6,spammer
188,21,574,23,0,366,0,0,0,1,45,2,spammer
497,335,284,1252,0,8978,0,1,0,1,55,6,spammer
368,9,24,4,0,710,0,0,0,1,46,0,spammer
139,41,54,0,0,1098,0,0,0,1,0,0,spammer
105,1022,767,135,0,607,0,0,0,1,78,6,spammer
842,1,360,0,0,124,0,0,0,1,43,0,spammer
454,0,15,0,0,217,2,0,1,1,60,0,spammer
954,1,5,0,0,629,0,0,0,1,39,0,spammer
701,770,377,2018,0,35372,0,1,0,1,55,6,spammer
179,69,92,0,0,814,0,0,0,1,0,0,spammer
608,1,221,0,0,325,0,0,0,1,35,2,spammer
100,27,63,0,0,54,1,1,1,1,118,3,spammer
976,14,397,0,0,484,0,0,0,1,83,9,spammer
1257,2800,2450,10494,12,53281,0,1,0,1,55,6,spammer
1271,1892,1885,38045,1,23351,0,1,1,1,74,0,spammer
1714,11,2002,0,2,321,0,0,0,1,30,0,spammer
644,0,449,0,0,332,0,0,0,1,21,0,spammer
819,5536,5536,269,10,26139,0,1,0,1,55,6,spammer
5,131,23,16,0,48,0,0,0,1,59,3,spammer
102,1463,1300,10,1,8504,0,1,0,1,56,0,spammer
1569,2,18,0,0,315,0,0,0,1,46,0,spammer
690,1144,876,321,1,11356,0,1,0,1,55,6,spammer
451,1391,359,63,8,2181,2,0,1,1,34,3,spammer
704,21,69,1,0,103,0,0,0,1,49,6,spammer
102,1463,1300,10,1,8505,0,1,0,1,81,2,spammer
1589,1272,1114,181,8,30951,0,1,1,1,98,2,spammer
324,439,341,1347,0,21559,0,1,0,1,55,6,spammer
1081,1751,1489,12872,8,77335,0,1,0,1,55,6,spammer
533,0,1,0,0,378,0,0,0,1,27,0,spammer
139,52,69,0,0,1025,0,0,0,1,0,0,spammer
185,2147,1854,9649,7,3118,0,0,0,1,83,6,spammer
102,1463,1300,10,1,8506,0,1,1,1,70,1,spammer
530,7,201,1,0,477,0,0,0,1,64,3,spammer
604,298,659,140,0,1293,0,1,0,1,55,6,spammer
102,1463,1300,10,1,8507,0,1,0,1,82,6,spammer
1564,2339,2185,57,52,233316,0,1,0,1,55,6,spammer
437,1,0,0,0,307,0,0,0,1,35,0,spammer
102,1463,1300,10,1,8508,0,1,0,1,80,4,spammer
635,11,49,0,0,375,0,0,0,1,66,4,spammer
134,1,168,0,0,358,0,0,0,1,15,0,spammer
934,9,1637,0,1,290,0,0,0,1,65,5,spammer
515,6083,1090,331,1,10757,0,1,0,1,55,6,spammer
171,152,143,0,0,1050,0,0,0,1,0,0,spammer
1261,1155,1750,1157,4,15771,0,1,0,1,55,6,spammer
950,0,2,0,0,306,0,0,0,1,30,0,spammer
138,50,59,0,0,1051,0,0,0,1,0,0,spammer
627,220,652,18,0,106,0,0,0,1,54,0,spammer
433,350,320,733,1,12034,0,1,0,1,55,6,spammer
276,286,351,762,1,7194,0,1,0,1,55,6,spammer
1248,4,311,0,1,343,0,0,0,1,46,5,spammer
1315,0,5,0,0,332,0,0,0,1,30,2,spammer
1064,1,424,3,0,305,0,0,0,1,50,0,spammer
102,1463,1300,10,1,8510,0,1,0,1,95,15,spammer
102,1463,1300,10,1,8511,0,1,0,1,63,2,spammer
476,1563,1998,2884,3,16557,0,1,0,1,55,6,spammer
1271,1892,1885,38045,1,23352,0,1,1,1,117,4,spammer
801,1,63,5,0,301,0,0,0,1,61,1,spammer
171,91,112,0,0,1060,0,0,0,1,0,0,spammer
844,3,221,2,0,294,0,0,0,1,73,0,spammer
420,422,415,522,0,8773,0,1,0,1,55,6,spammer
1188,1,372,0,0,454,0,0,0,1,59,4,spammer
910,124,193,440,0,21323,0,1,0,1,55,6,spammer
43,7,60,78,0,379,0,0,0,1,44,4,spammer
1589,1272,1114,181,8,30952,0,1,1,1,70,1,spammer
439,706,842,500,1,7449,0,1,0,1,55,6,spammer
644,458,436,2509,1,6301,0,1,0,1,55,6,spammer
102,1463,1300,10,1,8512,0,1,0,1,82,12,spammer
204,367,420,2541,0,12016,0,1,0,1,55,6,spammer
1258,3,387,2,0,291,0,0,0,1,58,0,spammer
582,0,12,0,0,333,0,0,0,1,61,0,spammer
1315,0,5,0,0,333,0,0,0,1,60,0,spammer
180,171,149,0,0,1092,0,0,0,1,0,0,spammer
259,2,26,0,0,345,0,0,0,1,34,0,spammer
572,1,140,0,0,255,0,0,0,1,70,1,spammer
562,0,30,0,0,478,0,0,0,1,30,4,spammer
1643,3,196,0,0,335,0,0,0,1,37,1,spammer
1587,6,29,0,0,309,0,0,0,1,52,0,spammer
57,3,5,0,0,434,0,0,0,1,70,0,spammer
377,762,2002,7,3,4396,0,0,0,1,52,0,spammer
1271,1892,1885,38045,1,23353,0,1,1,1,107,1,spammer
691,1,127,0,0,210,0,0,0,1,51,1,spammer
1189,83,398,0,1,394,0,0,0,1,38,0,spammer
1374,1,223,0,0,299,0,0,0,1,29,0,spammer
1589,1272,1114,181,8,30953,0,1,1,1,115,4,spammer
0,2,184,6,0,50,485,3,1,1,118,0,spammer
673,0,657,3,0,1207,0,0,0,1,40,0,spammer
171,120,122,0,0,809,0,0,0,1,0,0,spammer
779,0,115,1,0,226,0,0,0,1,43,2,spammer
635,1003,1316,0,3,3601,0,0,0,1,16,4,spammer
306,0,16,0,0,319,0,0,0,1,24,2,spammer
1048,13,361,3,1,646,0,0,0,1,25,0,spammer
831,1,9,0,0,345,0,0,0,1,31,0,spammer
717,6,253,0,0,331,0,0,0,1,15,0,spammer
1589,1272,1114,181,8,30954,0,1,1,1,69,1,spammer
48,0,0,0,0,361,0,0,0,1,36,0,spammer
1130,0,119,1,0,178,0,0,0,1,52,1,spammer
165,77,97,0,0,848,0,0,0,1,0,0,spammer
905,0,133,0,0,221,0,0,0,1,30,0,spammer
1438,3,29,1,0,332,0,0,0,1,37,4,spammer
413,2,11,4,0,319,0,0,0,1,28,0,spammer
1576,1,213,0,0,306,0,0,0,1,52,0,spammer
195,1444,469,152,1,10837,0,2,0,1,69,0,spammer
400,1,4,0,0,354,0,0,0,1,38,0,spammer
1049,1,266,0,0,343,0,0,0,1,21,1,spammer
381,0,189,0,0,313,0,0,0,1,44,1,spammer
574,0,118,0,0,222,0,0,0,1,56,4,spammer
195,1444,469,152,1,10838,0,2,0,1,68,0,spammer
637,3136,2897,1828,50,202175,1,0,1,1,34,0,spammer
195,1444,469,152,1,10839,0,2,0,1,74,0,spammer
747,0,0,0,0,334,0,0,0,1,33,0,spammer
195,1444,469,152,1,10840,0,2,0,1,67,1,spammer
195,1444,469,152,1,10841,0,2,0,1,61,1,spammer
1326,7,813,0,0,153,0,0,0,1,65,8,spammer
1589,1272,1114,181,8,30955,0,1,1,1,103,1,spammer
165,86,114,0,0,999,0,0,0,1,0,0,spammer
195,1444,469,152,1,10842,0,2,0,1,65,1,spammer
952,0,12,0,0,310,0,0,0,1,37,0,spammer
835,44631,67,94,29,20370,0,0,0,1,93,17,spammer
723,2,209,0,0,311,0,0,0,1,35,0,spammer
127,0,141,0,0,206,0,0,0,1,82,9,spammer
375,1030,1115,1279,1,2445,0,0,0,1,52,0,spammer
304,1,387,0,0,330,0,0,0,1,30,0,spammer
195,1444,469,152,1,10843,0,2,0,1,63,2,spammer
327,4971,3463,0,5,21851,0,1,0,1,55,0,spammer
1184,1,373,1,0,319,0,0,0,1,36,5,spammer
561,4,92,0,0,338,0,0,0,1,59,0,spammer
1555,1,3,0,0,316,0,0,0,1,29,0,spammer
195,1444,469,152,1,10844,0,1,1,1,115,6,spammer
125,7,15,0,0,1290,0,0,0,1,50,0,spammer
649,0,238,0,0,1138,0,0,0,1,40,0,spammer
970,2680,720,1874,16,20219,0,0,1,1,81,0,spammer
195,1444,469,152,1,10845,0,1,0,1,86,5,spammer
11,184,425,0,0,5066,0,0,0,1,67,0,spammer
683,10184,9957,0,12,4007,0,0,0,1,48,1,spammer
195,1444,469,152,1,10846,0,1,1,1,111,6,spammer
11,184,425,0,0,5067,0,0,0,1,84,0,spammer
195,1444,469,152,1,10847,0,1,0,1,38,1,spammer
996,1,699,0,0,157,0,0,0,1,56,4,spammer
673,0,657,3,0,1208,0,0,0,1,14,0,spammer
195,1444,469,152,1,10848,0,1,0,1,76,4,spammer
784,1,251,0,0,322,0,0,0,1,51,0,spammer
11,184,425,0,0,5068,0,0,0,1,80,0,spammer
195,1444,469,152,1,10849,0,1,0,1,103,6,spammer
1276,6,33,1,2,353,0,0,0,1,19,0,spammer
1099,0,0,0,0,308,0,0,0,1,36,0,spammer
11,184,425,0,0,5069,0,0,0,1,71,2,spammer
1026,0,737,0,0,170,0,0,0,1,44,3,spammer
245,59,83,0,0,2875,0,2,0,1,117,3,spammer
1681,2,1,0,0,61,0,1,0,1,57,0,spammer
1307,11,32,13,1,61,0,1,0,1,38,0,spammer
824,1,51,0,0,61,0,1,0,1,45,0,spammer
771,2848,2371,1,15,177081,0,1,0,1,22,0,spammer
177,0,12,0,0,310,0,0,0,1,33,0,spammer
230,0,1,0,0,61,0,1,0,1,22,0,spammer
936,3,21,0,0,98,0,1,0,1,43,0,spammer
1432,34,329,0,0,847,0,0,0,1,69,0,spammer
11,184,425,0,0,5070,0,0,0,1,82,3,spammer
312,0,0,0,0,61,0,1,0,1,28,0,spammer
948,1,167,0,0,61,0,1,0,1,26,0,spammer
156,1,694,0,0,159,0,0,0,1,41,0,spammer
